Package Name,Version,Official Link,Creator,Creator Profile Link,Description
amplitude-js,8.21.10,https://www.npmjs.com/package/amplitude-js,GitHub Actions,https://www.npmjs.com/~GitHub Actions,Javascript library for Amplitude Analytics
tcomb,3.2.29,https://www.npmjs.com/package/tcomb,gcanti,https://www.npmjs.com/~gcanti,Type checking and DDD for JavaScript
estree-util-to-js,2.0.0,https://www.npmjs.com/package/estree-util-to-js,wooorm,https://www.npmjs.com/~wooorm,estree (and esast) utility to serialize to JavaScript
ses,2.0.0,https://www.npmjs.com/package/ses,mhofman,https://www.npmjs.com/~mhofman,Hardened JavaScript for Fearless Cooperation
make-plural,8.1.0,https://www.npmjs.com/package/make-plural,eemeli,https://www.npmjs.com/~eemeli,Unicode CLDR pluralization rules as JavaScript functions
contentstack,3.27.0,https://www.npmjs.com/package/contentstack,cloudaccounts,https://www.npmjs.com/~cloudaccounts,Contentstack Javascript SDK
@tavily/core,0.7.3,https://www.npmjs.com/package/@tavily/core,tomer-yaacoby,https://www.npmjs.com/~tomer-yaacoby,Official JavaScript library for Tavily.
protocol-buffers-schema,3.6.1,https://www.npmjs.com/package/protocol-buffers-schema,mafintosh,https://www.npmjs.com/~mafintosh,No nonsense protocol buffers schema parser written in Javascript
bonjour,3.5.1,https://www.npmjs.com/package/bonjour,watson,https://www.npmjs.com/~watson,A Bonjour/Zeroconf implementation in pure JavaScript
@metaplex-foundation/mpl-token-metadata,3.4.0,https://www.npmjs.com/package/@metaplex-foundation/mpl-token-metadata,svc01-metaplex,https://www.npmjs.com/~svc01-metaplex,JavaScript client for Token Metadata
glightbox,3.3.1,https://www.npmjs.com/package/glightbox,biati,https://www.npmjs.com/~biati,Pure Javascript lightbox
tcomb-validation,3.4.1,https://www.npmjs.com/package/tcomb-validation,gcanti,https://www.npmjs.com/~gcanti,General purpose validation library for JavaScript
@azure/monitor-opentelemetry-exporter,1.0.0-beta.32,https://www.npmjs.com/package/@azure/monitor-opentelemetry-exporter,microsoft1es,https://www.npmjs.com/~microsoft1es,Application Insights exporter for the OpenTelemetry JavaScript (Node.js) SDK
tdigest,0.1.2,https://www.npmjs.com/package/tdigest,welch,https://www.npmjs.com/~welch,javascript implementation of Dunning's T-Digest for streaming quantile approximation
power-assert,1.6.1,https://www.npmjs.com/package/power-assert,twada,https://www.npmjs.com/~twada,Power Assert in JavaScript
@esbuild/openbsd-arm64,0.28.0,https://www.npmjs.com/package/@esbuild/openbsd-arm64,GitHub Actions,https://www.npmjs.com/~GitHub Actions,"The OpenBSD ARM 64-bit binary for esbuild, a JavaScript bundler."
jss,10.10.0,https://www.npmjs.com/package/jss,kof,https://www.npmjs.com/~kof,A lib for generating Style Sheets with JavaScript.
map-or-similar,1.5.0,https://www.npmjs.com/package/map-or-similar,thinkloop,https://www.npmjs.com/~thinkloop,A JavaScript (JS) Map or Similar object polyfill if Map is not available.
@trysound/sax,0.2.0,https://www.npmjs.com/package/@trysound/sax,trysound,https://www.npmjs.com/~trysound,An evented streaming XML parser in JavaScript
@joint/core,4.2.4,https://www.npmjs.com/package/@joint/core,joint_admin,https://www.npmjs.com/~joint_admin,JavaScript diagramming library
vue,3.5.33,https://www.npmjs.com/package/vue,GitHub Actions,https://www.npmjs.com/~GitHub Actions,The progressive JavaScript framework for building modern web UI.
scope-analyzer,2.1.2,https://www.npmjs.com/package/scope-analyzer,goto-bus-stop,https://www.npmjs.com/~goto-bus-stop,simple scope analysis for javascript ASTs
msrcrypto,1.5.8,https://www.npmjs.com/package/msrcrypto,kevlened,https://www.npmjs.com/~kevlened,MSR JavaScript Cryptography Library
@pact-foundation/pact,16.3.0,https://www.npmjs.com/package/@pact-foundation/pact,GitHub Actions,https://www.npmjs.com/~GitHub Actions,Pact for all things Javascript
react-refresh,0.18.0,https://www.npmjs.com/package/react-refresh,react-bot,https://www.npmjs.com/~react-bot,React is a JavaScript library for building user interfaces.
json2mq,0.2.0,https://www.npmjs.com/package/json2mq,akiran,https://www.npmjs.com/~akiran,Generate media query string from JSON or javascript object
fast-png,8.0.0,https://www.npmjs.com/package/fast-png,cheminfo-bot,https://www.npmjs.com/~cheminfo-bot,PNG image decoder and encoder written entirely in JavaScript
obj-props,2.0.0,https://www.npmjs.com/package/obj-props,dustinspecker,https://www.npmjs.com/~dustinspecker,List of properties for JavaScript objects
jszip,3.10.1,https://www.npmjs.com/package/jszip,stuk,https://www.npmjs.com/~stuk,"Create, read and edit .zip files with JavaScript http://stuartk.com/jszip"
msgpack-lite,0.1.26,https://www.npmjs.com/package/msgpack-lite,kawanet,https://www.npmjs.com/~kawanet,Fast Pure JavaScript MessagePack Encoder and Decoder
@elevenlabs/client,1.3.1,https://www.npmjs.com/package/@elevenlabs/client,GitHub Actions,https://www.npmjs.com/~GitHub Actions,ElevenLabs JavaScript Client Library
@solana-program/token-2022,0.9.0,https://www.npmjs.com/package/@solana-program/token-2022,joncinque,https://www.npmjs.com/~joncinque,JavaScript client for the Token 2022 program
@oxfmt/binding-linux-x64-musl,0.47.0,https://www.npmjs.com/package/@oxfmt/binding-linux-x64-musl,GitHub Actions,https://www.npmjs.com/~GitHub Actions,Formatter for the JavaScript Oxidation Compiler
parse,8.6.0,https://www.npmjs.com/package/parse,parseadmin,https://www.npmjs.com/~parseadmin,Parse JavaScript SDK
with,7.0.2,https://www.npmjs.com/package/with,with-bot,https://www.npmjs.com/~with-bot,Compile time `with` for strict mode JavaScript
grunt-contrib-uglify,5.2.2,https://www.npmjs.com/package/grunt-contrib-uglify,vladikoff,https://www.npmjs.com/~vladikoff,Minify JavaScript files with UglifyJS
@getstoryteller/storyteller-sdk-javascript,10.13.2,https://www.npmjs.com/package/@getstoryteller/storyteller-sdk-javascript,fraserb99,https://www.npmjs.com/~fraserb99,Javascript SDK for Storyteller
@esbuild/linux-riscv64,0.28.0,https://www.npmjs.com/package/@esbuild/linux-riscv64,GitHub Actions,https://www.npmjs.com/~GitHub Actions,"The Linux RISC-V 64-bit binary for esbuild, a JavaScript bundler."
@esbuild/netbsd-arm64,0.28.0,https://www.npmjs.com/package/@esbuild/netbsd-arm64,GitHub Actions,https://www.npmjs.com/~GitHub Actions,"The NetBSD ARM 64-bit binary for esbuild, a JavaScript bundler."
@solana-program/compute-budget,0.15.0,https://www.npmjs.com/package/@solana-program/compute-budget,joncinque,https://www.npmjs.com/~joncinque,JavaScript client for the Compute Budget program
logrocket,12.1.1,https://www.npmjs.com/package/logrocket,logrocket-npm,https://www.npmjs.com/~logrocket-npm,JavaScript SDK for [LogRocket](https://logrocket.com/)
iterall,1.3.0,https://www.npmjs.com/package/iterall,leebyron,https://www.npmjs.com/~leebyron,Minimal zero-dependency utilities for using JavaScript Iterables in all environments.
scriptjs,2.5.9,https://www.npmjs.com/package/scriptjs,ded,https://www.npmjs.com/~ded,Asyncronous JavaScript loader and dependency manager
@heap/heap-javascript-bridge-support,0.6.0,https://www.npmjs.com/package/@heap/heap-javascript-bridge-support,brian-heap,https://www.npmjs.com/~brian-heap,Heap bridge helper for implementing JavaScript sdks on native platforms.
